FeatureIndex_1,FeatureIndex_2,FeatureIndex_3,FeatureIndex_4,FeatureIndex_5,FeatureIndex_6,FeatureIndex_7,FeatureIndex_8,FeatureIndex_9,FeatureIndex_10,FeatureIndex_11,FeatureIndex_12,FeatureIndex_13,FeatureIndex_14,FeatureIndex_15,FeatureIndex_16,FeatureIndex_17,FeatureIndex_18,FeatureIndex_19,FeatureIndex_20,FeatureIndex_21,FeatureIndex_22,FeatureIndex_23,FeatureIndex_24,FeatureIndex_25,FeatureIndex_26,FeatureIndex_27,FeatureIndex_28,FeatureIndex_29,FeatureIndex_30,FeatureIndex_31,FeatureIndex_32,FeatureIndex_33,FeatureIndex_34,FeatureIndex_35,FeatureIndex_36,FeatureIndex_37,FeatureIndex_38,FeatureIndex_39,FeatureIndex_40,FeatureIndex_41,FeatureIndex_42,FeatureIndex_43,FeatureIndex_44,FeatureIndex_45,FeatureIndex_46,FeatureIndex_47,FeatureIndex_48,FeatureIndex_49,FeatureIndex_50,FeatureIndex_51,FeatureIndex_52,FeatureIndex_53,FeatureIndex_54,FeatureIndex_55,FeatureIndex_56,FeatureIndex_57,FeatureIndex_58,FeatureIndex_59,FeatureIndex_60,FeatureIndex_61,FeatureIndex_62,FeatureIndex_63,FeatureIndex_64,TransientName
6,6,6,6,9,9,9,9,0,1,23,23,2,19,6,9,0,23,14,18,23,11,19,6,6,2,14,4,4,23,11,0,6,2,23,10,4,14,14,0,9,19,1,23,14,23,23,0,9,6,0,19,11,23,1,0,9,9,9,9,6,6,6,6,SN2004ep
16,3,20,12,14,20,11,18,18,14,14,3,14,21,21,12,11,18,11,12,13,13,3,12,21,14,5,4,4,1,3,12,13,23,1,17,4,21,20,18,18,18,21,19,20,12,16,13,23,21,11,23,13,18,3,23,14,23,14,13,13,20,3,12,PS1-11bbg
6,8,19,5,18,12,18,0,6,6,11,20,20,10,17,19,8,2,11,12,21,21,10,19,19,11,21,4,4,7,21,19,8,21,7,7,4,17,11,8,0,21,21,20,21,20,19,0,2,21,21,18,21,11,19,6,0,18,12,5,5,0,6,6,SN2017glb
18,20,14,12,11,14,18,14,23,18,21,7,13,13,13,18,18,3,14,10,1,3,13,23,13,20,23,22,22,1,12,13,18,18,5,18,4,10,23,3,18,13,12,1,14,1,21,13,23,13,3,20,23,20,21,13,18,13,12,23,12,12,20,13,SN2004fk
9,9,9,6,6,6,6,9,9,6,0,1,1,1,19,9,9,8,1,3,10,23,19,9,9,0,1,4,4,21,1,9,9,18,14,7,4,18,1,9,9,19,1,21,14,19,0,9,9,6,1,1,1,19,6,9,9,9,6,6,6,9,9,9,SN1999ej
15,19,15,15,19,19,1,1,0,1,1,1,0,1,1,0,1,15,19,5,5,0,1,1,1,1,20,4,4,20,1,0,0,1,19,14,4,20,0,19,1,0,19,1,11,0,11,19,1,0,1,1,0,18,16,0,19,5,19,0,0,19,19,19,SDSS2614-54481-257
2,19,2,11,11,2,11,2,11,19,5,19,2,8,19,5,2,19,19,20,12,18,19,2,19,19,17,4,4,7,20,2,11,11,12,17,4,17,19,2,19,11,20,12,18,20,5,8,11,19,2,8,19,11,8,2,8,19,11,11,11,5,19,19,PTF10kzf
3,23,8,22,18,3,23,23,2,3,23,22,21,1,14,3,14,3,8,17,4,3,1,23,23,3,5,4,4,21,23,23,1,14,5,4,4,21,3,1,23,14,1,17,4,14,23,14,3,14,23,18,17,3,1,7,4,10,23,13,21,23,23,12,SN2003cv
6,9,9,9,9,9,9,9,0,8,8,8,8,6,9,9,1,23,18,21,18,11,19,9,19,14,10,4,4,10,18,0,0,18,18,7,4,21,14,1,9,8,19,11,18,11,11,19,9,9,9,6,6,6,6,0,9,9,9,9,9,9,9,6,SN2019upw
12,14,13,13,14,3,23,13,20,14,14,20,3,12,13,11,21,23,5,18,16,2,12,20,13,21,2,22,22,18,20,13,14,3,23,10,7,11,23,18,3,21,18,16,21,20,3,11,13,20,13,12,14,13,3,23,12,23,20,14,13,12,13,14,PTF11dll
